a collection|sold out|T:in under 24 hours
a second princess-themed line|to be released|L:in two separate capsules
a second princess-themed line|is|all-set to be released in two separate capsules
this story|is|a part of our festive fashion series
while tacheism is a french art movement that features spontaneous brushwork of paint applied straight from the tube , kintsugi is|is|the japanese art of repairing broken pottery
while tacheism is a french art movement that features drips of paint applied straight from the tube , kintsugi is|is|the japanese art of repairing broken pottery
while tacheism is a french art movement that features blobs of paint applied straight from the tube , kintsugi is|is|the japanese art of repairing broken pottery
tacheism|is|a french art movement that features spontaneous brushwork of paint
tacheism|is|a french art movement that features blobs of paint
tacheism|is|a french art movement that features drips of paint
what siddhartha tytler could do away with|is|the hot fix rhinestone embellishments that remind one of the past in a not-so-nostalgic way
arora|is|a perfectionist who sees things through
the first features pieces poised for a modern - day cinderella moment|think|everything from sparkle - strewn sneakers to pretty pastel slides
the first features pieces|poised|T:for a modern - day cinderella moment
the first puma x sophia webster capsule|will drop|T:on march 17
gudi padwa|marks|the maharashtrian new year
gudi padwa|marks|the beginning of spring
a stick|decorated|with colourful cloth
a stick|decorated|with flowers
pm 's|go|with nidhi tholia 's brocade kurta set
those willing to go one step further|can swap|those willing to go one step further sharara sets in favour of kora 's skirt set
those willing to go one step further|can swap|those willing to go one step further sharara sets in favour of kora 's kurta set
the saris|to try|this gudi padwa
the best designer kurtas|to try|this gudi padwa
practical style tips|to help|you get ahead of the upcoming festive season
our festive fashion series|offers|practical style tips to help you get ahead of the upcoming festive season
pero's autumn/winter '18 show|was|in a league of pero's autumn/winter '18 show own
david abraham thakore 's collection # sadaksmart|was|as the name suggests , inspired by the sartorial ways of the streets of new delhi
david rakesh thakore 's collection # sadaksmart|was|as the name suggests , inspired by the sartorial ways of the streets of new delhi
the menswear|was|stronger in comparison than the womenswear with pieces
joshipura's 's lineup|was|about drawing those parallels
arora's collection|was inspired|by a floral winter
a futuristic maximal collection|was inspired|by the increasing use of technology in our lives
the design|was inspired|by the japanese technique of kintsugi;T:when imagining the colour palette
the design|was inspired|by abstract art;T:when imagining the colour palette
the designer|swapped|aneeth arora 's otherwise dark colour palette
the set|had|a live counter skillful candy makers from papabubble;T:lending to the mood
the last day of the short four-day long amazon india fashion week|had|the strongest lineup of all days
arora's 's collection|made|use of passamanaria lace on the separates
arora's 's collection|made|use of portuguese lace;on the separates;T:from detailed beadwork to crochet detailing
siddhartha tytler|made|a renewed comeback;T:this season
candy makers from pappabubble|made|live hard candy
gowns|made|for a futuristic collection
the designer|made|use of crystal chain
use of passamanaria|lace|on the separates
kanika goyal's recent collection|draws|inspiration;from tacheism, and kintsugi
blobs of paint|applied|straight from the tube
drips of paint|applied|straight from the tube
a french art movement|features|spontaneous brushwork of paint applied straight from the tube
a french art movement|features|blobs of paint applied straight from the tube
a french art movement|features|drips of paint applied straight from the tube
the designer|stayed|true to colour blocking with a playful twist
the designer|stayed|true to the brand 's signature style of panelling blocking with a playful twist
dresses|dominated|designers collection
high shine|dominated|designers collection
abstract lines on statement jackets|dominated|designers collection
namrata joshipura|presented|a futuristic maximal collection that was inspired by the increasing use of technology in our lives;T:for the last show of the season
